get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,17.0,2023.0,25.0,462,D'Angelo,Russell,1996-02-23,USA,2015,6,6.0,4.0,1.93,193.0,87.5,Ohio State,Ohio State/USA,,True,G,,,,,,,,,
,,,,560,Christian,Wood,1995-09-27,USA,2015,5,6.0,9.0,2.06,214.0,97.1,UNLV,UNLV/USA,35.0,True,F,35.0,1.0,C,,,,,,
,,,,437,Taurean,Prince,1994-03-22,USA,2016,5,6.0,6.0,1.98,218.0,98.9,Baylor,Baylor/USA,12.0,True,F,,,,,,,,,
,,,,1036,Jarred,Vanderbilt,1999-04-03,USA,2018,3,6.0,9.0,2.06,214.0,97.1,Kentucky,Kentucky/USA,8.0,True,F,8.0,1.0,F,,,,,,
,,,,1862,Rui,Hachimura,1998-02-08,Japan,2019,2,6.0,8.0,2.03,230.0,104.3,Gonzaga,Gonzaga/Japan,8.0,True,F,8.0,1.0,F,,,,,,
,,,,1775,Gabe,Vincent,1996-06-14,USA,2019,2,6.0,3.0,1.9,200.0,90.7,California-Santa Barbara,California-Santa Barbara/USA,2.0,True,G,2.0,1.0,G,2.0,1.0,G,,,
,,,,1889,Cam,Reddish,1999-09-01,USA,2019,2,6.0,8.0,2.03,217.0,98.4,Duke,Duke/USA,,True,F-G,,,,,,,,,
,,,,1864,Jaxson,Hayes,2000-05-23,USA,2019,2,6.0,11.0,2.11,220.0,99.8,Texas,Texas/USA,10.0,True,C-F,10.0,1.0,F-C,,,,,,
,,,,1903,Dylan,Windler,1996-09-22,USA,2020,1,6.0,6.0,1.98,196.0,88.9,Belmont,Belmont/USA,9.0,True,G-F,9.0,1.0,G-F,,,,9.0,1.0,F
,,,,2620,Skylar,Mays,1997-09-05,USA,2020,1,6.0,4.0,1.93,205.0,93.0,Louisiana State,Louisiana State/USA,4.0,True,G,4.0,1.0,G,,,,,,
,,,,2845,Austin,Reaves,1998-05-29,USA,2021,0,6.0,5.0,1.96,197.0,89.4,Oklahoma,Oklahoma/USA,15.0,True,G,31.0,1.0,G,31.0,1.0,G,,,
,,,,3477,Scotty,Pippen Jr.,,,0,0,,,,,,,,14.0,True,G,1.0,1.0,G,1.0,1.0,G,,,
,,,,3427,Max,Christie,,,0,0,,,,,,,,10.0,True,G,10.0,1.0,G,10.0,1.0,G,,,
,,,,3525,Bryce,Hamilton,,,0,0,,,,,,,,53.0,True,G,53.0,1.0,G-F,53.0,1.0,G-F,,,
,,,,3986,Damion,Baugh,,,0,0,6.0,,,194.0,,TCU,,18.0,True,G,,,,,,,,,
,,,,3987,Colin,Castleton,,,0,0,6.0,,,231.0,,Florida,,14.0,True,C,,,,,,,,,
,,,,3988,Alex,Fudge,,,0,0,6.0,,,189.0,,Florida,,17.0,True,F,,,,,,,,,
,,,,3989,D'Moi,Hodge,,,0,0,6.0,,,185.0,,Missouri,,55.0,True,G,,,,,,,,,
,,,,3990,Jalen,HoodSchifino,,,0,0,6.0,,,215.0,,Indiana,,,True,G,,,,,,,,,
,,,,3991,Maxwell,Lewis,,,0,0,6.0,,,205.0,,Pepperdine,,21.0,True,F,,,,,,,,,
,,,,3992,Vincent,ValerioBodon,,,0,0,6.0,,,200.0,,,,27.0,True,SF,,,,,,,,,
,,,,4041,Harry III,Giles,,,0,0,6.0,,,240.0,,Duke,,14.0,True,F,,,,,,,,,
,,,,126,Anthony,Davis,1993-03-11,USA,2012,9,6.0,10.0,2.08,253.0,114.8,Kentucky,Kentucky/USA,3.0,True,F-C,,,,,,,,,
,,,,142,Spencer,Dinwiddie,1993-04-06,USA,2014,7,6.0,6.0,1.98,215.0,97.5,Colorado,Colorado/USA,26.0,True,G,,,,,,,,,
,,,,265,LeBron,James,1984-12-30,USA,2003,18,6.0,9.0,2.06,250.0,113.4,St. Vincent-St. Mary HS (OH),St. Vincent-St. Mary HS (OH)/USA,6.0,True,F,,,,,,,,,
