get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,23.0,2023.0,25.0,385,Larry,Nance Jr.,1993-01-01,USA,2015,6,6.0,7.0,2.01,245.0,111.1,Wyoming,Wyoming/USA,22.0,True,F-C,,,,,,
,,,,260,Brandon,Ingram,1997-09-02,USA,2016,5,6.0,8.0,2.03,190.0,86.2,Duke,Duke/USA,14.0,True,F,,,,,,
,,,,1071,Kaiser,Gates,1996-11-08,USA,0,0,6.0,7.0,2.01,225.0,102.1,Xavier,Xavier/USA,30.0,True,F,22.0,1.0,F,,,
,,,,1902,Zion,Williamson,2000-07-06,USA,2019,2,6.0,6.0,1.98,284.0,128.8,Duke,Duke/USA,1.0,True,F,1.0,1.0,F,,,
,,,,2611,Kira,Lewis Jr.,2001-04-06,USA,2020,1,6.0,1.0,1.85,170.0,77.1,Alabama,Alabama/USA,13.0,True,G,13.0,1.0,G,,,
,,,,2668,Naji,Marshall,1998-01-24,USA,2020,1,6.0,7.0,2.01,220.0,99.8,Xavier,Xavier/USA,8.0,True,F,8.0,1.0,F,,,
,,,,3195,Matt,Ryan,1997-04-17,USA,2021,0,6.0,7.0,2.01,215.0,97.5,Tennessee-Chattanooga,Tennessee-Chattanooga/USA,37.0,True,F,37.0,1.0,F,,,
,,,,2846,Jeremiah,Robinson-Earl,2000-11-03,USA,2021,0,6.0,8.0,2.03,242.0,109.8,Villanova,Villanova/USA,50.0,True,F,50.0,1.0,F,50.0,1.0,F
,,,,2822,Herbert,Jones,1998-10-06,USA,2021,0,6.0,7.0,2.01,206.0,93.4,Alabama,Alabama/USA,5.0,True,F,5.0,1.0,F,,,
,,,,2837,Trey,Murphy III,2000-06-18,USA,2021,0,6.0,8.0,2.03,206.0,93.4,Virginia,Virginia/USA,25.0,True,F,25.0,1.0,G-F,,,
,,,,3462,E.J.,Liddell,,,0,0,,,,,,,,,True,F,32.0,1.0,F,,,
,,,,2990,Jalen,Crutcher,1999-07-18,USA,0,0,6.0,2.0,1.88,175.0,79.4,Dayton,Dayton/USA,17.0,True,G,17.0,1.0,G,,,
,,,,2941,Jose,Alvarado,1998-04-12,USA,2021,0,6.0,0.0,1.83,179.0,81.2,Georgia Tech,Georgia Tech/USA,15.0,True,G,15.0,1.0,G,,,
,,,,3406,Dyson,Daniels,,,0,0,,,,,,,,11.0,True,G,11.0,1.0,G,,,
,,,,3380,Malcolm,Hill,1995-10-26,USA,2021,0,6.0,6.0,1.98,220.0,99.8,Illinois,Illinois/USA,14.0,True,F,21.0,1.0,G-F,,,
,,,,3421,Izaiah,Brockington,,,0,0,,,,,,,,,True,G,,,,,,
,,,,3486,Dereon,Seabron,,,0,0,,,,,,,,,True,G,,1.0,G,,,
,,,,4002,Jordan,Hawkins,,,0,0,6.0,,,195.0,,UConn,,24.0,True,G,,,,,,
,,,,4003,Trey,Jemison,,,0,0,6.0,,,260.0,,UAB,,56.0,True,C,,,,,,
,,,,4004,Tevian,Jones,,,0,0,6.0,,,220.0,,Southern Utah,,55.0,True,G,,,,,,
,,,,4005,Liam,Robbins,,,0,0,7.0,,,250.0,,Vanderbilt,,4.0,True,C,,,,,,
,,,,4048,Landers II,Nolley,,,0,0,6.0,,,220.0,,Cincinnati,,2.0,True,G,,,,,,
,,,,525,Jonas,Valanciunas,1992-05-06,Lithuania,2012,9,6.0,11.0,2.11,265.0,120.2,Lietuvos rytas Vilnius,Lietuvos rytas Vilnius/Lithuania,17.0,True,C,,,,,,
,,,,347,CJ,McCollum,1991-09-19,USA,2013,8,6.0,3.0,1.9,190.0,86.2,Lehigh,Lehigh/USA,3.0,True,G,,,,,,
,,,,571,Cody,Zeller,1992-10-05,USA,2013,0,,,,,,Indiana,Indiana/USA,40.0,True,F-C,,,,,,
